Codigo calibracion,Fecha de ejecucion,Marca,Codigo,Serie,Nombre equipo,Id equipo,Archivo,Ubicación
"8600","2025-02-28","CATERPILLAR","MEQ00091","SXC01929","PLANTA ELECTRICA ","4212","a68cca81b8d5cfe5934af92061cac1e2.pdf",""
"8601","2025-02-28","CUMMIS","204867","502FDR8056","PLANTA ELECTRICA (QUINTA)","4215","bd477fda8324b02faae929a371655d89.pdf","500kVA"
"8374","2025-01-31","CUMMIS","204867","502FDR8056","PLANTA ELECTRICA (QUINTA)","4215","73d7c2a98a22837d458ac5ba2371be11.pdf","500kVA"
"8371","2025-01-31","CATERPILLAR","MEQ00076","AFN00740","PLANTA ELECTRICA (MORGUE)","5753","26f337cf98ef66ae59bc0505495b0548.pdf",""
"8368","2025-01-31","LOVOL","N.I","DG100YM200A","PLANTA ELECTRICA","4214","bcf10bc8ce2234256b0fc03c3786159e.pdf",""
"8365","2025-01-31","CATERPILLAR","MEQ00091","SXC01929","PLANTA ELECTRICA ","4212","1afecf5259a2e4f9166af15430f6ba82.pdf",""
"8607","2025-01-27","GRIVAN","N.I","UCR2L441CAA","CUARTO FRIO","4253","bc0cff43bad9570cd4b4ff152e9d0d4e.pdf","JEFATURA"
"8352","2025-01-24","GENERAL ELECTRIC","EMCO6156","B322021","ANGIOGRAFO BIPLANO","8360","8bb9497eeca1ad9f8e0329be1bcac822.pdf","ANGIOGRAFIA"
"8579","2025-01-22","KTJ","TH305","","TERMOHIGROMETRO DIGITAL SIN SONDA","8762","ae273bf099f8af783ba8aad88aaead16.pdf",""
"8581","2025-01-22","KEX GERMANY","TH218","","TERMOHIGROMETRO","6217","2cb39c391d9e1232817575c7b96772f1.pdf",""
"8580","2025-01-22","KEX GERMANY","TH207","","TERMOHIGROMETRO","6112","b50a4af126ef36f402aa868854c0c6d2.pdf",""
"8574","2025-01-22","THERMO SCIENTIFIC","","145615101140418","NEVERA","7861","ef3ddfe39abc17540c791e1dccf848ad.pdf","BIOLOGÍA MOLECULAR"
"8573","2025-01-20","HAIER","MEQ00768","BE07C3EAQ00QJM4N0003","NEVERA","6043","dcdbc3347638c5132b4acdacfeee2648.pdf",""
"8313","2024-12-30","PURITAN BENNET","EMCO3924","3512160305","VENTILADOR MECÁNICO","1030","cf469dcf6800bf42848adb1fd7e6444f.pdf",""
"8300","2024-12-30","AEONMED","EMCO4948","XZZS33766","VENTILADOR MECÁNICO","5028","6d8b9a2c0e87d76bbb960fca8e5fa766.pdf",""
"8311","2024-12-30","DRAGER","EMCO4063","VTSKM0144","Monitor De Signos Vitales","746","92b9aa2ce65c199f48f8b120e131ea1a.pdf",""
"8370","2024-12-27","CATERPILLAR","MEQ00076","AFN00740","PLANTA ELECTRICA (MORGUE)","5753","8a988742185ecbae3c0ab1a311adf0e5.pdf",""
"8307","2024-12-27","BIOLIGHT","EMCO4256","Q067A003697","Monitor De Signos Vitales","900","75e0c40618d12028b7a6f43baa00e65e.pdf",""
"8364","2024-12-27","CATERPILLAR","MEQ00091","SXC01929","PLANTA ELECTRICA ","4212","6c93a44d7f269e4b2a94e575c9635be6.pdf",""
"8367","2024-12-27","LOVOL","N.I","DG100YM200A","PLANTA ELECTRICA","4214","02a961f6ab2ca12ae24ee6f87e0fe89c.pdf",""
"8373","2024-12-27","CUMMIS","204867","502FDR8056","PLANTA ELECTRICA (QUINTA)","4215","1b049346d07b1d0abb831e1552d2029a.pdf","500kVA"
"8753","2024-12-27","HEALTHOMETER","EMCO6562","800B082449045","BASCULA DE PISO","9694","faa6072572f270aacf22b8f863a2a666.pdf",""
"8182","2024-12-24","PRESTIGE","","380329","TENSIOMETRO MANUAL ","9699","af094fcadae4901672ebbad93a895902.pdf",""
"8181","2024-12-24","PRESTIGE","","380341","TENSIOMETRO MANUAL ","9698","b16c30b07655fe081a735d415832b904.pdf",""
"8312","2024-12-23","SLE","EMCO5994","6020460889","VENTILADOR NEONATAL ","7709","316950f7c34508a857ee7c8462314419.pdf",""
"8645","2024-12-23","N/A","CCG-1","","CAJA DE CONTROL GASES MEDICINALES","9868","f1ed0cc554633595a79a2d2f622a7d8f.pdf",""
"8570","2024-12-20","WELCHALLYN","EMCO4082","171208075885","TENSIOMETRO DE PEDESTAL","972","b45a57f88f31401ffd27d3dad2d06adb.pdf",""
"8175","2024-12-20","EDAN","","261586-M24402270130","Monitor De Signos Vitales","9690","6d4b5a1fcfdbc956a44620f90088ad2c.pdf",""
"8372","2024-12-20","CUMMIS","204867","502FDR8056","PLANTA ELECTRICA (QUINTA)","4215","bee925e65186acc9a32c403314fa93d3.pdf","500kVA"
"8369","2024-12-20","CATERPILLAR","MEQ00076","AFN00740","PLANTA ELECTRICA (MORGUE)","5753","c67c6fd8a209acb5f61761c561186821.pdf",""
"8363","2024-12-20","CATERPILLAR","MEQ00091","SXC01929","PLANTA ELECTRICA ","4212","2a68f08464512206111e04ebd5c01144.pdf",""
"8179","2024-12-20","COMEN","","S5092324019","DESFIBRILADOR ","9695","3ab24ce1b1d77d43f1337dd2c49b6d6d.pdf",""
"8174","2024-12-20","EDAN","","261586-M24402270031","Monitor De Signos Vitales","9689","4d4c501a1fdef9a81cd0dcb6af95829e.pdf",""
"8366","2024-12-20","LOVOL","N.I","DG100YM200A","PLANTA ELECTRICA","4214","aa5e1015150b6cbb62ae81b93ff9ad58.pdf",""
"8180","2024-12-20","MAGNAMED","","18699","VENTILADOR MECÁNICO","9696","a010405e1088bc3fd2e6cb0e27567271.pdf",""
"8299","2024-12-19","MAGNAMED","EMCO4225","5949","VENTILADOR MECÁNICO","1109","ca33d6b94d9f7dd32139f8ae975bd91f.pdf",""
"8553","2024-12-19","ESTRA","EQUIPO HUV 283","","NEVERA DE TRANSPORTE CON TERMOMETRO","9788","f568db04c8c970f25cdb37b207b5fd2b.pdf",""
"8552","2024-12-19","ESTRA","EQUIPO HUV 284","","NEVERA DE TRANSPORTE CON TERMOMETRO","9787","29a2c26a1e50c8f6d49ad75d4fd14f1a.pdf",""
"8555","2024-12-19","ESTRA","EQUIPO HUV 282","","NEVERA DE TRANSPORTE CON TERMOMETRO","9789","03cd1d67e81183cd52c952a5711b1905.pdf",""
"8556","2024-12-19","ESTRA","EQUIPO HUV 294","","NEVERA DE TRANSPORTE CON TERMOMETRO","9790","ff0d144c94c06e7c05ad69207ebf130f.pdf",""
"8551","2024-12-19","ESTRA","EQUIPO HUV 285","","NEVERA DE TRANSPORTE CON TERMOMETRO","9786","b76ea052bc4bff0e31fb0ba8ae0a849a.pdf",""
"8548","2024-12-19","ESTRA","EQUIPO HUV 286","","NEVERA DE TRANSPORTE CON TERMOMETRO","9785","2fe10fb0b22148405908128d279fe160.pdf",""
"8183","2024-12-18","MCO","HUV-AMB-01","","TENSIOMETRO MANUAL ","9700","597bb9860e206a5a368a5506f5ef3bdd.pdf",""
"8184","2024-12-18","MCO","HUV-AMB-02","","TENSIOMETRO MANUAL ","9701","b003f95e65a48597ec3be05314cada2f.pdf",""
"8177","2024-12-18","PULMO MED","","YU24080082","ASPIRADOR","9692","4ee939a35f184b39a735d36b78998ef6.pdf",""
"8176","2024-12-18","PULMO MED","","YU24080081","ASPIRADOR","9691","81ae0558424c3e6c261713717a973845.pdf",""
"8298","2024-12-18","NEUMOVENT","EMCO3457","110810081081A1V","VENTILADOR MECÁNICO","1000","a18050c0e1794d067ff0b66e57dab3c7.pdf",""
"8295","2024-12-17","PURITAN BENNET","EMCO3959","3512173298","VENTILADOR MECÁNICO","1050","e86557c43e1e968bcc94ee3ab0cea429.pdf",""
"8297","2024-12-17","Neumovent","EMCO4167","181140241081A1V","VENTILADOR MECÁNICO","1060","652e6ca00dcf683ae1dc2435a18f35d6.pdf",""
"8296","2024-12-17","Neumovent","EMCO4182","181140461081A1V","VENTILADOR MECÁNICO","1082","cc67fe01728a723e5db6f32e2a3c7d52.pdf",""
"8294","2024-12-17","PURITAN BENNET","EMCO3917","3512160562","VENTILADOR MECÁNICO","1028","50fc0f9b510740e974aeddc3deede95d.pdf",""
"8676","2024-12-17","KEX GERMANY","TH111","","TERMOHIGROMETRO","9835","ad730b94afd258497f91a540f7cfb668.pdf",""
"8685","2024-12-17","KEX GERMANY","TH132","","TERMOHIGROMETRO","8494","ad19094f2e2bb15151f4348bbeb32483.pdf",""
"8679","2024-12-17","KTJ thermo","TH115","","TERMOHIGROMETRO","9839","c74c59607cfbe2f1a5dc534e7fe135f8.pdf",""
"8677","2024-12-17","KTJ thermo","TH112","","TERMOHIGROMETRO","9836","ea6b58caeda3a11fba7dcdbda49fe533.pdf",""
"8643","2024-12-17","KTJ THERMO meter","TH037","","TERMOHIGROMETRO","2327","d02150691e4a6525795c8b37a10b73dc.pdf",""
"8724","2024-12-17","KTJ THERMO meter","TH280","","TERMOHIGRÓMETRO","2314","697a263e235ccc47b6c668776496bc6f.pdf",""
"8678","2024-12-17","UNI-T","TH114","","TERMOMETRO","9838","c38392e41924e79a90617c571fa5c5d9.pdf",""
"8659","2024-12-17","KEX GERMANY","TH063","","TERMOHIGROMETRO","6964","562635a2b12e7149b83eb62ab16c8bc5.pdf",""
"8662","2024-12-17","KTJ THERMO meter","TH068","","TERMOHIGROMETRO","2328","99a9ce64e26cf9c9964af48b33c6c430.pdf",""
"8647","2024-12-17","KTJ","TH046","","TERMOHIGROMETRO","9811","b595c4759835a716c63a385afcc8b240.pdf",""
"7566","2024-12-17","KTJ","TH034","","TERMOHIGROMETRO","6965","bacd8123bdbec78d30531a236ca93cec.pdf",""
"8290","2024-12-16","BIOLIGHT","EMCO4267","Q067A003573","Monitor De Signos Vitales","880","6e3fda3bb468cbbc1f761a70a54608e0.pdf",""
"8291","2024-12-16","PURITAN BENNET","402778","3510072652","VENTILADOR MECÁNICO","1024","1d31032d5b10a7be513a629139036adc.pdf",""
"8292","2024-12-16","MAGNAMED","EMCO4185","5942","VENTILADOR MECÁNICO","1107","192832d01c3d9029b6b904bf00ee15e8.pdf",""
"8288","2024-12-16","DRAGER","EMCO4049","VTSKM0133","Monitor De Signos Vitales","745","832f013d4aa3d6fe849b25cbd8106db1.pdf",""
"8287","2024-12-16","DRAGER","EMCO4060","VTSKM0189","Monitor De Signos Vitales","750","f21667d92fa458c165d56a6be0591b07.pdf",""
"8289","2024-12-16","DRAGER","EMCO4055","VTSKK0079","Monitor De Signos Vitales","742","7c8b414007e2e19c39e180bb7fde3d75.pdf",""
"8085","2024-12-13","CATERPILLAR","MEQ00091","SXC01929","PLANTA ELECTRICA ","4212","4ff723cbefaed4fa383823e4c82bcdf0.pdf",""
"8324","2024-12-13","ESTRA","NEVERA No. 4","MKT1574","NEVERA DE TRANSPORTE CON TERMOMETRO","8352","707599252c4829466b2b259f9f8edb56.pdf",""
"8323","2024-12-13","ESTRA","NEVERA No. 3","MKT1573","NEVERA DE TRANSPORTE CON TERMOMETRO","8351","7e4560387af0cb06f536f14fc99ff33d.pdf",""
"8088","2024-12-13","LOVOL","N.I","DG100YM200A","PLANTA ELECTRICA","4214","00430af26768fadff6e9233725ea3d3d.pdf",""
"8310","2024-12-13","GOLDWAY","","CN7CABAS00068","Monitor De Signos Vitales","2294","d646e06bc8d12d32c70a5432ee323093.pdf","FONOAUDIOLOGIA"
"8082","2024-12-13","CATERPILLAR","MEQ00076","AFN00740","PLANTA ELECTRICA (MORGUE)","5753","cce9a519452358cc1b5b0c52c0125cea.pdf",""
"8079","2024-12-13","CUMMIS","204867","502FDR8056","PLANTA ELECTRICA (QUINTA)","4215","c4b9ba3cf8f07c70d9c2c558e34a9c12.pdf","500kVA"
"8293","2024-12-12","PURITAN BENNET","EMCO3960","3512173297","VENTILADOR MECÁNICO","1044","dcd672f858e0c4df0da5c156aaae6112.pdf",""
"8510","2024-12-12","KEX GERMANY ","TH217","26966","TERMOHIGROMETRO","6214","f258f7ded2558bce7e10c20085f8defd.pdf",""
"8511","2024-12-12","HALTHEN","TH-224","27161","TERMOHIGROMETRO","6209","8756917ea717e494688cb29b5dc2e765.pdf",""
"8286","2024-12-12","COMEN","EMCO5144","E7200527059F","Monitor De Signos Vitales","5037","50c9a8ced59aaee3c5643715f137745b.pdf",""
"8308","2024-12-12","NEUMOVENT","EMCO3709","130210071081A1V","VENTILADOR MECÁNICO","1010","da7eb5c6f304f372d243e327e1b2304e.pdf",""
